"District_n","mean_buy"
"Chadiza",7237.65
"Chama",204.1
"Chavuma",0
"Chibombo",4736.76875
"Chienge",1064.4625
"Chililabombwe",0
"Chilubi",0
"Chingola",131.75
"Chinsali",2374.3625
"Chipata",7083.2375
"Choma",4877.54375
"Chongwe",4045.80625
"Gwembe",117.10625
"Isoka",6498.79375
"Itezhi-tezhi",1724.2875
"Kabompo",1046.90625
"Kabwe",4242.83125
"Kafue",351.9125
"Kalabo",0
"Kalomo",8702.94375
"Kalulushi",0
"Kaoma",1404.43125
"Kapiri Mposhi",2459.71875
"Kaputa",766.7375
"Kasama",3054.6875
"Kasempa",2410.8875
"Katete",9166.6625
"Kawambwa",2414.15625
"Kazungula",2349.5375
"Kitwe",0
"Livingstone",0
"Luangwa",0
"Luanshya",0
"Lufwanyama",1587.98125
"Lukulu",11.54375
"Lundazi",5997.48125
"Lusaka",1417.8375
"Luwingu",1752.5625
"Mambwe",0
"Mansa",2604.05625
"Masaiti",1004.31875
"Mazabuka",4600.51875
"Mbala",8840.76875
"Milenge",406.1375
"Mkushi",5168
"Mongu",0
"Monze",5455.5625
"Mpika",3336.94375
"Mpongwe",3293.71875
"Mporokoso",1350.95
"Mpulungu",1266.925
"Mufulira",0
"Mufumbwe",1357.34375
"Mumbwa",4474.26875
"Mungwi",1626.70625
"Mwense",453.96875
"Mwinilunga",1527.7375
"Nakonde",6002.26875
"Namwala",3145.55625
"Nchelenge",585.41875
"Ndola",339.425
"Nyimba",3679.95625
"Petauke",7523.7125
"Samfya",828.2125
"Senanga",0
"Serenje",4204.1375
"Sesheke",927.54375
"Shang'ombo",95.23125
"Siavonga",106.7
"Sinazongwe",77.625
"Solwezi",1519.0875
"Zambezi",61.5875
