"mkt_name","sell_iv2","buy_iv"
"Chingola",7070.30688186361,158340.941593396
"Chipata",4386.96486269368,1078747.61965352
"Choma",20531.6887270015,663178.831377555
"Isoka",785.671599896481,340110.677128635
"Kabwe",4168.28170607156,237835.845379829
"Kalomo",29311.7251428936,946776.267865384
"Kalulushi",11038.4470867006,291608.842126604
"Kaoma",2492.74895810373,287655.301937991
"Kasama",824.486598161182,300323.876109334
"Kasempa",1163.37367782231,228671.719428321
"Kawambwa",706.807583171514,178714.492636148
"Kitwe",7775.62854235053,125622.232282591
"Livingstone",721.830377946738,43957.6433096183
"Luangwa",150.82729337849,38054.2774760344
"Luanshya",7655.01608925485,169306.924325499
"Lusaka",5003.45004041831,215636.005520959
"Luwingu",516.002396285276,112516.269705842
"Mansa",1919.31345650356,170174.539604695
"Mazabuka",14245.0608741378,613925.991163724
"Mbala",1124.00949840135,543996.456305263
"Mkushi",4467.73924405194,602456.645672064
"Monze",6949.46229408936,489767.026126945
"Mufulira",8669.72613164986,140067.178364379
"Mumbwa",7331.73859721734,1033998.47615237
"Mwense",346.876893560729,64170.3117390432
"Mwinilunga",456.991631011493,136690.379113245
"Nchelenge",314.82264672317,94257.1547945648
"Petauke",4541.59369548494,1132783.48664114
"Samfya",704.433045825581,100984.569593833
"Senanga",944.179516103613,108955.313332097
"Serenje",2587.89717014661,580436.868573775
"Solwezi",5170.81246065934,455568.519494754
