"","mkt","lat","lon","mill_dist","mill_dist_two","mkt_name","prod_region"
"1","Chingola",-12.5419553,27.8545867,0,21000.6592612417,"Chingola",0
"2","Chipata",-13.6445104,32.6447001,0,230586.386852043,"Chipata",1
"3","Choma",-16.8054223,26.9970153,0,30288.9315261915,"Choma",1
"4","Isoka",-10.1535089,32.6362231,386182.01413998,405935.638314593,"Isoka",0
"5","Kabwe",-14.4285061,28.451357,0,53505.4741818417,"Kabwe",1
"6","Kalomo",-17.0299054,26.4783981,0,30288.9315261915,"Kalomo",1
"7","Kalulushi",-12.8426423,28.0947106,13510.1188247064,24772.5479698076,"Kalulushi",0
"8","Kaoma",-14.8119398,24.7973983,0,108211.099432118,"Kaoma",0
"9","Kasama",-10.2290555,31.193945,273615.72754206,341573.546997547,"Kasama",0
"10","Kasempa",-13.7145854,26.2304616,172032.033609503,184319.461845912,"Kasempa",0
"11","Kawambwa",-9.7936959,29.0809012,155784.641447512,237102.723181217,"Kawambwa",0
"12","Kitwe",-12.8231947,28.2175744,0,15149.8722586036,"Kitwe",0
"13","Livingstone",-17.8519791,25.8285153,0,57105.4048992809,"Livingstone",1
"14","Luangwa",-15.6264925,30.4040725,224863.037662813,236592.793820499,"Luangwa",0
"15","Luanshya",-13.1435017,28.4163103,0,20739.8963779736,"Luanshya",0
"16","Lusaka",-15.3875259,28.3228165,0,40413.7992977152,"Lusaka",0
"17","Luwingu",-10.585487,29.8815203,127430.930490483,204475.640239842,"Luwingu",0
"18","Mansa",-11.1892053,28.8888064,0,83143.1828379759,"Mansa",0
"19","Mazabuka",-15.861252,27.7490656,0,40413.7992977152,"Mazabuka",1
"20","Mbala",-8.8536444,31.3655989,374774.285376545,453841.346596911,"Mbala",0
"21","Mkushi",-13.6211552,29.3889082,117858.842493044,126449.160748345,"Mkushi",1
"22","Monze",-16.2803207,27.4732571,54967.3342802397,66087.0413662379,"Monze",1
"23","Mufulira",-12.5502705,28.2409671,0,15149.8722586036,"Mufulira",0
"24","Mumbwa",-14.9848228,27.0617553,121849.742942121,132248.543006557,"Mumbwa",1
"25","Mwense",-10.3575357,28.9528645,92259.9463576534,173474.940667894,"Mwense",0
"26","Mwinilunga",-11.7401439,24.4232735,218716.178778175,280483.727903318,"Mwinilunga",0
"27","Nchelenge",-9.353427,28.7402073,203706.255043594,280754.244178081,"Nchelenge",0
"28","Petauke",-14.2412572,31.3198491,157654.064105714,233892.664188245,"Petauke",1
"29","Samfya",-11.3620219,29.5513689,74824.8427803015,134429.092713552,"Samfya",0
"30","Senanga",-16.1178235,23.2960171,0,108211.099432118,"Senanga",0
"31","Serenje",-13.2325565,30.2339635,197283.871118036,210322.601287604,"Serenje",1
"32","Solwezi",-12.1668712,26.3839765,0,82617.6597874092,"Solwezi",0
